totalCount;Monica;Ross;Rachel;Joey;Chandler;Phoebe;MonicaCount;RossCount;RachelCount;JoeyCount;ChandlerCount;PhoebeCount
955.8500000000001;173.8800000000001;186.3100000000001;171.09000000000003;122.01999999999998;170.5599999999999;131.99000000000004;882;975;852;643;834;650
1052.17;170.99000000000004;169.15999999999997;181.15000000000003;181.89000000000001;194.47000000000003;154.51000000000002;797;909;811;654;784;666
1156.2400000000002;181.69000000000017;222.24000000000007;177.67999999999998;208.81000000000006;184.20000000000002;181.61999999999995;860;1076;929;780;842;793
1173.5500000000002;178.11999999999998;191.85000000000002;205.2200000000002;206.52;205.80999999999995;186.02999999999994;820;861;967;844;983;734
1202.97;187.72000000000006;199.04000000000002;202.25999999999988;217.57000000000014;203.59999999999994;192.77999999999997;914;870;918;942;948;816
1273.1800000000003;185.33000000000007;217.17000000000007;224.41;238.28000000000014;227.44000000000008;180.54999999999998;910;913;993;911;1040;792
1197.88;195.37000000000003;177.98000000000002;243.60999999999996;243.79000000000013;154.57999999999998;182.54999999999998;907;822;1093;939;849;810
1163.7900000000004;175.53000000000011;214.1100000000001;234.35000000000002;220.92999999999995;142.18000000000004;176.69000000000008;812;984;1086;909;677;773
1209.2200000000007;202.45000000000013;206.4100000000002;182.10000000000022;223.61;198.39000000000004;196.26;908;879;904;859;918;800
1047.3300000000002;164.38000000000008;218.11999999999992;157.6900000000001;176.7299999999999;166.30000000000007;164.11000000000013;687;871;775;727;693;702
